archivo,titulo,numero_ley,version
01_argentinagobar.pdf,Ley 24.240 - Defensa del Consumidor. Normas de Protección y Defensa de los Consumidores,24.240,texto_actualizado
02_argentinagobar.pdf,Ley 20.785 - Bienes objeto de secuestro en causas penales. Custodia y disposición,20.785,texto_original
03_argentinagobar.pdf,Decreto 1148/1991 - Reglamentación del artículo 39 de la Ley 23.737,,texto_original
04_argentinagobar.pdf,Ley 23.737 - Modificación al Código Penal. Narcotráfico (estupefacientes),23.737,texto_original
05_argentinagobar.pdf,"Ley 25.938 - Registro Nacional de Armas de Fuego y Materiales Controlados, Secuestrados o Incautados",25.938,texto_original
06_infoleg.pdf,Ley 20.744 - Régimen de Contrato de Trabajo (LCT),20.744,texto_original
07_infoleg-ministerio-de-economía-y-finanzas-públicas.pdf,Ley 11.179 - Código Penal de la Nación,11.179,texto_original
08_ley-15.pdf,Decreto 897/1995 - Ley de Prenda. Texto ordenado del Decreto-Ley 15.348/46 (ratificado por Ley 12.962),15.348,texto_ordenado
09_ley-n-11.pdf,Ley 11.723 - Régimen Legal de la Propiedad Intelectual,11.723,texto_original
10_ley-de-bien-de-familia-edad-de-matrimonio.pdf,"Ley 14.394 - Modificaciones al régimen de los menores y de la familia (bien de familia, edad de matrimonio)",14.394,texto_actualizado
11_infoleg-ministerio-de-economía-y-finanzas-públicas.pdf,Ley 24.156 - Administración Financiera y de los Sistemas de Control del Sector Público Nacional,24.156,texto_actualizado
12_siri-angel-1957.pdf,"CSJN, ""Siri, Ángel"" (1957), Fallos 239:459 - amparo contra actos del Estado",,no_aplica
13_samuel-kot-1958.pdf,"CSJN, ""Samuel Kot SRL"" (1958), Fallos 241:291 - amparo contra actos de particulares",,no_aplica
14_outón-1967.pdf,"CSJN, ""Outón"" (1967), Fallos 267:215 - libertad de agremiación",,no_aplica
15_alitt-2006.pdf,"CSJN, ""ALITT c/ Inspección General de Justicia"" (2006) - personería jurídica",,no_aplica
16_3275118-hooft-pedro-c-f-c-provincia-de-buenos-aires-16112004.pdf,"CSJN, ""Hooft, Pedro C. F. c/ Provincia de Buenos Aires"" (2004), Fallos 327:5118",,no_aplica
17_resolución-558-sistema-de-gestion-ambiental-deroganse-resoluciones.pdf,"ENRE, Resolución 558/2022 - Sistema de Gestión Ambiental. Deróganse resoluciones",,texto_original
18_resolución-404-adendas-por-mayor-financiamiento-modificase.pdf,"Ministerio de Obras Públicas, Resolución 404/2022 - Adendas por mayor financiamiento. Modifícase",,texto_original
19_resolución-160-resolucion-212017-modificacion.pdf,"Secretaría de Agricultura, Ganadería y Pesca, Resolución 160/2022 - Modificación de la Resolución 21/2017",,texto_original
20_resolución-2118-pliego-de-bases-y-condiciones-generales-y-particulares-apruebase.pdf,"ENACOM, Resolución 2118/2022 - Pliego de bases y condiciones generales y particulares. Apruébase",,texto_original
21_resolución-75-modelo-de-convenio.pdf,"Secretaría de Comercio, Resolución 75/2022 - Modelo de convenio (defensa del consumidor)",,texto_actualizado
22_resolución-46-bono-de-la-nacion-argentina-en-moneda-dual-ampliase.pdf,"Secretarías de Finanzas y de Hacienda, Resolución Conjunta 46/2022 - Bono de la Nación Argentina en moneda dual. Amplíase",,texto_original
23_resolución-865-dumping-apertura-del-examen.pdf,"Ministerio de Economía, Resolución 865/2022 - Dumping. Apertura del examen",,texto_original
24_resolución-867-dumping-apertura-del-examen.pdf,"Ministerio de Economía, Resolución 867/2022 - Dumping. Apertura del examen",,texto_original
25_resolución-282-resolucion-692015-revocase.pdf,"AABE, Resolución 282/2022 - Revócase la Resolución 69/2015",,texto_original
26_resolución-5289-informe-o-estado-de-situacion.pdf,"IGJ y AFIP, Resolución General Conjunta 5289/2022 - Asociaciones civiles categoría I. Informe o estado de situación",,texto_original
27_resolución-99-reunion-invitase.pdf,"Secretaría de Comercio, Resolución 99/2022 - Reunión. Invítase",,texto_original
28_resolución-286-cooperativa-agricola-ganadera-peñi-mapuche-limitada.pdf,"AABE, Resolución 286/2022 - Permiso de uso a la Cooperativa Agrícola Ganadera Peñi Mapuche Limitada",,texto_original
29_resolución-274-municipalidad-de-rio-primero-de-la-provincia-de-cordoba.pdf,"AABE, Resolución 274/2022 - Municipalidad de Río Primero, Provincia de Córdoba",,texto_original
30_disposición-899-cinemometros-controladores-de-velocidad-homologase-y-autorizase-.pdf,"ANSV, Disposición 899/2022 - Cinemómetros controladores de velocidad. Homológase y autorízase uso",,texto_original
31_resolución-278-municipalidad-de-escobar.pdf,"AABE, Resolución 278/2022 - Municipalidad de Escobar",,texto_original
contrato-alquiler-comercial-local-argentina-2026.pdf,Contrato de locación comercial - local / depósito (modelo con campos en blanco),,no_aplica
contrato-alquiler-oficina-argentina-2026.pdf,Contrato de locación comercial - oficina profesional (modelo con campos en blanco),,no_aplica
EstatutoUNLAR.pdf,Resolución ME 2485-E/2017 - Estatuto Académico de la Universidad Nacional de La Rioja (texto ordenado),,texto_ordenado
riesgos-del-trabajo-UNLAR.pdf,"Preguntas más frecuentes sobre el Sistema de Riesgos del Trabajo (SRT, 2016) - material de divulgación",,no_aplica
Texto-Ordenado---Reglamento-General-de-Alumnos---OHCS-283-04-y-modificatorias.pdf,Reglamento General de Alumnos - OHCS 283/04 y modificatorias (texto ordenado),,texto_ordenado
