id,categoria,pregunta,respuesta_esperada,chunks_relevantes,por_que
f01,factual,¿Cuántos días tiene el consumidor para arrepentirse de una compra hecha fuera del local?,10 días corridos,41,"Control básico: el dato está en un solo artículo y con palabras parecidas a las de la pregunta. Si esta falla, algo del pipeline está roto."
f02,factual,¿Cuánto dura la garantía legal de un producto usado?,3 meses (6 meses para los productos que no son usados),16,El chunk contiene los dos plazos juntos: mide si el sistema devuelve el que corresponde a 'usado' y no el otro.
f03,factual,¿Cuántos días de vacaciones le corresponden a un trabajador con menos de 5 años de antigüedad?,14 días corridos,328,"La pregunta no usa ninguna palabra del texto salvo 'antigüedad': mide recuperación semántica, no coincidencia léxica."
f04,factual,¿Cuántas materias por año tiene que aprobar un alumno de la UNLAR para seguir siendo regular?,2 asignaturas por año académico,2027,Documento chico y poco citado del corpus: comprueba que la recuperación no se va siempre a los documentos grandes.
f05,factual,¿Cuánto tiempo dura la regularidad de una materia en la UNLAR?,12 épocas o turnos de examen,2033,Vocabulario propio de la institución ('épocas o turnos'): el denso solo tiende a confundirlo con otros plazos del mismo reglamento.
f06,factual,¿En qué banco se deposita el dinero secuestrado en una causa penal?,"Banco de la Ciudad de Buenos Aires, o la sucursal del Banco de la Nación Argentina que corresponda",94,"Respuesta que es un nombre propio, no un número: es donde BM25 suele ganarle al denso."
f07,factual,¿Cuántos años duran en su cargo los consiliarios de la UNLAR?,"3 años, y pueden ser reelectos una vez",1779,"El Estatuto tiene decenas de plazos parecidos: mide precisión, no solo recall."
f08,factual,¿En cuánto tiempo hay que avisarle al Registro Nacional de Armas que se secuestró un arma?,10 días hábiles,167,'10 días hábiles' aparece en varias leyes del corpus: mide si el sistema trae el de la ley correcta.
i01,identificador,¿Qué dice el artículo 72 de la ley 11179?,Enumera las acciones dependientes de instancia privada,510,EL caso del trabajo. El número va sin punto y el artículo 72 existe en varias leyes del corpus; antes del encabezado de identidad el sistema devolvía el art. 72 de la ley 11.723.
i02,identificador,¿Qué dice el artículo 208 de la Ley de Contrato de Trabajo?,"Que a los menores de 18 años que trabajan de mañana y de tarde se les aplican los artículos 190, 191 y 192",367,"Pide un artículo por su número dentro de una ley de 297 artículos. El número no está en el cuerpo del texto: sin el encabezado de identidad, el sistema tiene que adivinar cuál de los 297 es."
i03,identificador,¿Qué dice el artículo 57 de la Ley de Contrato de Trabajo?,Que los libros sin las formalidades del artículo 56 no tienen valor en juicio a favor del empleador,228,Igual que i02 con un número de artículo bajo. Los artículos de dos cifras son más difíciles: '57' aparece suelto en decenas de chunks como parte de otros números.
i04,identificador,"Según el artículo 5 de la ley 11.723, ¿cuántos años después de la muerte del autor sigue vigente la propiedad intelectual?",30 años,761,"La pregunta nombra la ley Y el artículo, y la respuesta es un número escrito con letras ('treinta años'), que BM25 no puede matchear contra un '30' en la consulta."
i05,identificador,¿Qué ley creó el Registro Nacional de Armas de Fuego?,La ley 25.938,165,"La respuesta es el número de ley, no un dato del articulado: el sistema tiene que traer la carátula del documento."
i06,identificador,¿Qué artículo de la ley 24.240 regula la garantía legal?,El artículo 11,16,"La pregunta pide el NÚMERO de artículo, que solo está en el encabezado del chunk. Sin encabezado de identidad es irrespondible."
i07,identificador,¿Qué leyes regulan el sistema de riesgos del trabajo?,"La ley 24.557 y su modificatoria, la ley 26.773",1925,"Dos números de ley en la misma respuesta, dentro de un folleto de divulgación y no de una norma: prueba que el corpus no es homogéneo."
i08,identificador,¿Qué pena fija el artículo 204 del Código Penal según la ley 23.737?,Prisión de 6 meses a 3 años,118,Menciona dos normas a la vez (un artículo del Código Penal reformado por otra ley) y las dos están en el corpus como documentos distintos.
m01,multihop,¿En qué tipo de ventas puede arrepentirse el consumidor y cuántos días tiene para hacerlo?,En la venta domiciliaria y en la venta por correspondencia; tiene 10 días corridos,39;40;41,El plazo está en el art. 34 y los casos en los arts. 32 y 33: el art. 34 dice 'en los casos previstos en los artículos 32 y 33' sin repetirlos.
m02,multihop,¿Qué tiene que hacer un alumno de la UNLAR para ser regular y cuánto le dura la regularidad de una materia?,Aprobar 2 asignaturas por año académico; la regularidad de la materia dura 12 turnos de examen,2027;2033,Dos artículos del mismo reglamento que hablan de 'regular' con sentidos distintos: condición del alumno y vigencia de la materia.
m03,multihop,¿Cuánto tiempo hay para informar un arma secuestrada y cuánto para informar un cambio de lugar de depósito?,10 días hábiles para informar el secuestro y 48 horas para informar el cambio de depósito,167;168,"Dos plazos parecidos en artículos consecutivos: si el sistema trae uno solo, contesta con seguridad y a medias."
m05,multihop,¿Cuántos días de vacaciones corresponden con menos de 5 años de antigüedad y qué hay que haber trabajado para tener derecho?,14 días corridos; hay que haber trabajado como mínimo la mitad de los días hábiles del año,328;329,"Artículos consecutivos, uno con la cantidad y otro con el requisito. Con chunking fijo los dos caían en el mismo chunk por casualidad; con chunking por artículo el multihop es real."
m06,multihop,"En un sumario por defensa del consumidor, ¿cuántos días hay para presentar el descargo y cuántos para apelar la sanción?",5 días hábiles para el descargo y 10 días hábiles para el recurso,58;61,"Los dos plazos están en el mismo artículo 45, pero tan largo que quedó partido en cinco chunks: multihop provocado por el tope de tamaño."
s01,fuente,¿En qué fallo la Corte Suprema creó la acción de amparo?,"En el fallo Siri, de 1957",1026,"Cuatro documentos del corpus mencionan a Siri, pero uno solo ES el fallo. Mide si el sistema distingue la fuente de las citas."
s02,fuente,¿Qué fallo extendió el amparo a los actos de particulares?,"El fallo Samuel Kot, de 1958",1061,"Los cinco fallos del corpus hablan de amparo. Kot es el único que trata el amparo contra particulares, y Siri —que es el más citado— es la respuesta incorrecta más tentadora."
s03,fuente,¿Qué ley es el Código Penal de la Nación?,La ley 11.179,457,"Seis documentos del corpus mencionan el Código Penal (lo reforman, lo reglamentan o lo citan) y uno solo es el Código Penal."
s04,fuente,¿Qué ley establece las normas de protección y defensa de los consumidores?,La ley 24.240,0,Dos resoluciones de la Secretaría de Comercio citan la ley 24.240 decenas de veces; la fuente es un tercer documento.
n01,negativa,¿Cuál es el plazo mínimo de un contrato de alquiler según la ley 27.551?,No está en el corpus,,"Negativa tentadora: el corpus tiene dos contratos de alquiler, así que la recuperación va a traer documentos que PARECEN responder."
n02,negativa,¿Qué dice la ley de teletrabajo sobre el derecho a la desconexión?,No está en el corpus,,"Negativa tentadora: el corpus tiene la Ley de Contrato de Trabajo entera, y el reranker puede darle un score alto a cualquier artículo sobre jornada."
n03,negativa,¿Qué obliga la ley de góndolas a los supermercados?,No está en el corpus,,Negativa tentadora: es una ley de defensa del consumidor y el corpus tiene la 24.240 completa.
n04,negativa,¿Qué dice el artículo 500 del Código Penal?,No está en el corpus,,"Negativa con forma de identificador: el Código Penal del corpus llega al artículo 316. El sistema tiene que decir que no existe, no traer el artículo 50 o el 300."
